diacritic_pos	diacritic_freq	no_diacritic_pos	no_diacritic_freq	total_freq	cnt	detected
4	0	4	158	158	0	2
4	228	4	11	239	1	1
4	17	4	3	20	2	1
4	0	2	2	2	3	2
4	0	4	5	5	4	2
4	0	4	5	5	5	2
4	4	0	0	4	6	0
4	1	2	1	2	7	0
4	0	2	0	0	8	2
4	367	4	0	367	9	0
4	13	4	45	58	10	0
4	0	4	1	1	11	2
4	11	4	846	857	12	0
4	35	4	33	68	13	0
4	18	0	0	18	14	1
4	0	2	28	28	15	2
4	2	4	3	5	16	0
4	3	2	1	4	17	0
4	5	4	353	358	18	1
4	0	2	0	0	19	2
4	1	0	2832	2833	20	0
4	0	4	0	0	21	2
4	0	4	0	0	22	2
4	9	4	986	995	23	0
4	0	4	986	986	24	2
4	146	2	893	1039	25	0
4	0	2	2	2	26	2
4	0	2	14	14	27	2
4	9	4	18	27	28	0
4	0	4	18	18	29	2
4	9	2	4	13	30	1
4	3	2	80	83	31	0
4	0	2	624	624	32	2
4	7	4	521	528	33	0
4	0	2	0	0	34	2
4	21	4	327	348	35	0
4	12094	4	723	12817	36	1
4	7	2	3	10	37	0
4	28	2	43	71	38	0
4	4	2	0	4	39	0
4	44	4	504	548	40	0
4	0	2	0	0	41	2
4	34	4	32	66	42	1
4	2	4	278	280	43	0
4	0	2	8	8	44	2
4	0	4	0	0	45	2
4	7	4	0	7	46	1
4	0	4	1671	1671	47	2
4	0	4	41	41	48	2
4	0	2	1	1	49	2
4	32	2	6	38	50	0
4	0	4	1	1	51	2
4	0	2	0	0	52	2
4	7	4	22	29	53	1
4	0	4	0	0	54	2
4	0	4	0	0	55	2
4	0	0	39	39	56	2
4	0	4	1	1	57	2
4	0	2	2	2	58	2
4	0	4	37	37	59	2
4	0	4	4	4	60	2
4	0	2	0	0	61	2
4	122	2	3	125	62	1
4	6	2	34	40	63	0
4	5	4	116	121	64	0
4	0	4	9	9	65	2
4	3	2	1	4	66	0
4	5	4	11	16	67	0
4	27	0	2834	2861	68	1
4	0	4	197	197	69	2
4	0	2	0	0	70	2
4	1	2	9	10	71	1
4	9	2	1	10	72	0
4	0	2	70	70	73	2
4	1	2	1	2	74	0
4	2	2	0	2	75	0
4	1	2	24	25	76	1
4	20	4	12	32	77	0
4	0	2	0	0	78	2
4	28	4	0	28	79	0
4	3	2	0	3	80	1
4	0	4	12	12	81	2
4	1	0	2	3	82	0
4	0	2	5	5	83	2
4	0	0	178	178	84	2
4	0	4	0	0	85	2
4	1	2	20	21	86	1
4	0	4	576	576	87	2
4	0	4	2	2	88	2
4	0	4	67	67	89	2
4	21	2	4	25	90	0
4	0	4	60	60	91	2
4	11	4	6	17	92	1
4	18	4	5	23	93	0
4	0	2	0	0	94	2
4	0	4	16	16	95	2
4	0	2	0	0	96	2
4	0	2	0	0	97	2
4	0	2	1	1	98	2
4	6	4	5	11	99	0
4	1	4	278	279	100	0
4	0	2	1	1	101	2
4	7	4	0	7	102	0
4	6	2	13	19	103	0
4	0	4	5	5	104	2
4	6	2	4	10	105	0
4	0	4	1	1	106	2
4	12	4	29	41	107	1
4	2	4	5	7	108	0
4	1	4	19	20	109	0
4	0	2	7	7	110	2
4	0	4	0	0	111	2
4	0	4	3	3	112	2
4	0	4	0	0	113	2
4	0	2	0	0	114	2
4	0	2	139	139	115	2
4	245	2	474	719	116	0
4	82	2	3	85	117	0
4	2	2	0	2	118	0
4	3	4	16	19	119	0
4	0	2	0	0	120	2
4	1	4	23	24	121	0
4	0	2	0	0	122	2
4	0	4	0	0	123	2
4	0	2	0	0	124	2
4	0	4	0	0	125	2
4	3	2	88	91	126	0
4	6	4	24	30	127	0
4	0	2	75	75	128	2
4	1	2	27	28	129	1
4	0	2	5	5	130	2
