diacritic_word	diacritic_pos	diacritic_freq	no_diacritic_word	no_diacritic_pos	no_diacritic_freq	total_freq
abellà	4	0	abella	4	158	158
adrià	4	228	adria	4	11	239
agàtocles	4	17	agatocles	4	3	20
aidí	4	0	aidi	2	2	2
ainès	4	0	aines	4	5	5
ainés	4	0	aines	4	5	5
aiòder	4	4	aioder	0	0	4
alabès	4	1	alabes	2	1	2
albanès	4	367	albanes	4	0	367
albertí	4	13	alberti	4	45	58
alberí	4	0	alberi	4	1	1
albà	4	11	alba	4	846	857
albí	4	35	albi	4	33	68
alcàsser	4	18	alcasser	0	0	18
alegrí	4	0	alegri	2	28	28
alfés	4	2	alfes	4	3	5
alió	4	3	alio	2	1	4
almúnia	4	5	almunia	4	353	358
altés	4	1	altes	0	2832	2833
alès	4	9	ales	4	986	995
alés	4	0	ales	4	986	986
alí	4	146	ali	2	893	1039
amargó	4	0	amargo	2	2	2
amarí	4	0	amari	2	14	14
ambrosià	4	9	ambrosia	4	18	27
ambròsia	4	0	ambrosia	4	18	18
amigó	4	9	amigo	2	4	13
amín	4	3	amin	2	80	83
amó	4	0	amo	2	624	624
amós	4	7	amos	4	521	528
andorrà	4	21	andorra	4	327	348
anglès	4	12094	angles	4	723	12817
angèlic	4	7	angelic	2	3	10
angèlica	4	28	angelica	2	43	71
ansó	4	4	anso	2	0	4
antoní	4	44	antoni	4	504	548
apià	4	34	apia	4	32	66
apol·ló	4	2	apol·lo	4	278	280
argentó	4	0	argento	2	8	8
aristòbul	4	7	aristobul	4	0	7
armadà	4	0	armada	4	1671	1671
arnó	4	0	arno	4	41	41
arpí	4	0	arpi	2	1	1
arrià	4	32	arria	2	6	38
arró	4	0	arro	4	1	1
artà	4	7	arta	4	22	29
arís	4	0	aris	0	39	39
ascós	4	0	ascos	4	1	1
aspró	4	0	aspro	2	2	2
audí	4	0	audi	4	37	37
ausà	4	0	ausa	4	4	4
avilés	4	122	aviles	2	3	125
avià	4	6	avia	2	34	40
aín	4	5	ain	4	116	121
badés	4	0	bades	4	9	9
badó	4	3	bado	2	1	4
bagà	4	5	baga	4	11	16
baixés	4	27	baixes	0	2834	2861
baiés	4	0	baies	4	197	197
balbí	4	1	balbi	2	9	10
baldé	4	9	balde	2	1	10
baldí	4	0	baldi	2	70	70
baldó	4	1	baldo	2	1	2
ballarà	4	2	ballara	2	0	2
balàfia	4	1	balafia	2	24	25
barberà	4	20	barbera	4	12	32
barcelonès	4	28	barcelones	4	0	28
barravés	4	3	barraves	2	0	3
barà	4	0	bara	4	12	12
barés	4	1	bares	0	2	3
bascó	4	0	basco	2	5	5
bascós	4	0	bascos	0	178	178
bastià	4	1	bastia	2	20	21
begudà	4	0	beguda	4	576	576
bellveí	4	0	bellvei	4	2	2
belló	4	0	bello	4	67	67
belém	4	21	belem	2	4	25
benés	4	0	benes	4	60	60
bernabéu	4	11	bernabeu	4	6	17
besòs	4	18	besos	4	5	23
bodí	4	0	bodi	4	16	16
bolló	4	0	bollo	2	1	1
bolòs	4	6	bolos	4	5	11
borgonyà	4	1	borgonya	4	278	279
bornís	4	0	bornis	2	1	1
borrassà	4	7	borrassa	4	0	7
borén	4	6	boren	2	13	19
borés	4	0	bores	4	5	5
boscà	4	6	bosca	2	4	10
