per ser, per a ser
per utilitzar, per a utilitzar
per desbloquejar, per a desbloquejar
per xifrar, per a xifrar
per intentar, per a intentar
per iniciar, per a iniciar
per connectar, per a connectar
per signar, per a signar
per completar, per a completar
per emmagatzemar, per a emmagatzemar 
per determinar, per a determinar
per poder, per a poder
per veure, per a veure
per inhabilitar, per a inhabilitar
per habilitar, per a habilitar
per a comparar, per a comparar
per mostrar, per a mostrar
per amagar, per a amagar
per cercar, per a cercar
per suprimir, per a suprimir
per crear, per a crear
per adjuntar, per a adjuntar
per seleccionar, per a seleccionar
per treballar, per a treballar
per accedir, per a accedir
per evitar, per a evitar
per funcionar, per a funcionar
per sincronitzar, per a sincronitzar
per especificar, per a especificar
per sortir, per a sortir
per canviar, per a canviar
per continuar, per a continuar
per ajustar, per a ajustar
per desfer, per a desfer
per imprimir, per a imprimir
per ressaltar, per a ressaltar
per inserir, per a inserir
per netejar, per a netejar
per emprar,  per a emprar
per blocar, per a blocar
per desblocar, per a desblocar
